,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1580.1248,FDW58,OUT049
1,1316.2917,FDW14,OUT017
2,611.0694,NCN55,OUT010
3,2427.681,FDQ58,OUT017
4,6005.0547,FDY38,OUT027
5,1658.153,FDH56,OUT046
6,468.1096,FDL48,OUT018
7,1926.3535,FDC48,OUT027
8,1703.9575,FDN33,OUT045
9,2272.8704,FDA36,OUT017
10,1807.4583,FDT44,OUT017
11,1408.2672,FDQ56,OUT045
12,508.4734,NCC54,OUT019
13,2315.9233,FDU11,OUT049
14,674.9212,DRL59,OUT013
15,2371.8442,FDM24,OUT049
16,3736.6208,FDI57,OUT045
17,2958.343,DRC12,OUT018
18,2915.9854,NCM42,OUT027
19,489.61526,FDA46,OUT010
20,2908.3708,FDA31,OUT013
21,3568.9517,NCJ31,OUT035
22,718.11066,FDG52,OUT046
23,395.0799,NCL19,OUT019
24,3164.5083,FDS10,OUT035
25,618.204,FDX22,OUT010
26,671.3499,NCF19,OUT035
27,1991.9417,NCE06,OUT046
28,3587.9978,DRC27,OUT046
29,2427.9868,FDE21,OUT035
30,-241.0118,NCR42,OUT019
31,2627.9507,FDX51,OUT018
32,359.22632,NCR06,OUT018
33,4919.9526,FDU31,OUT027
34,2224.9773,FDU59,OUT017
35,5767.3047,FDR03,OUT027
36,2098.9224,FDS49,OUT027
37,375.99753,FDD48,OUT010
38,3021.762,NCF18,OUT017
39,2564.8044,NCD43,OUT027
40,1633.0039,NCD54,OUT018
41,-126.52524,FDY19,OUT010
42,2159.4148,NCY54,OUT017
43,1883.4418,NCL19,OUT018
44,280.55463,FDP23,OUT010
45,1933.4849,FDC26,OUT013
46,21.262444,FDR14,OUT010
47,3272.2698,NCS41,OUT035
48,4200.7827,FDF41,OUT035
49,1934.4673,FDU34,OUT046
50,724.78815,DRH11,OUT046
51,1923.8071,FDM03,OUT013
52,3168.0627,FDS31,OUT017
53,2052.66,FDJ20,OUT017
54,4860.798,FDV44,OUT027
55,2765.1655,FDG02,OUT049
56,3642.9795,FDA09,OUT013
57,649.6323,FDT04,OUT013
58,-1191.4923,FDL58,OUT019
59,1445.857,FDE52,OUT045
60,2709.5076,FDW12,OUT035
61,3531.6472,FDL51,OUT017
62,3175.393,NCY42,OUT027
63,1291.4818,FDR07,OUT017
64,2298.6956,FDN40,OUT045
65,2427.7244,FDB35,OUT027
66,2508.6482,FDA22,OUT017
67,5568.6216,NCL06,OUT046
68,3472.792,FDI35,OUT013
69,3769.0059,NCW42,OUT045
70,3192.8323,NCX06,OUT049
71,2415.847,FDC37,OUT027
72,1843.0034,FDZ14,OUT018
73,4756.7188,DRG49,OUT049
74,3066.1016,NCG06,OUT045
75,2756.7395,DRC36,OUT045
76,340.26962,FDV21,OUT019
77,2446.996,FDB53,OUT046
78,766.12286,DRP47,OUT019
79,2503.5232,FDA14,OUT013
80,2709.0698,DRC24,OUT035
81,1726.4928,FDW21,OUT018
82,2036.7233,NCH29,OUT046
83,3251.848,FDU58,OUT013
84,2571.0361,FDY27,OUT017
85,1713.6526,FDV56,OUT035
86,3405.3984,FDT59,OUT046
87,2926.1013,FDB23,OUT046
88,722.7399,FDR49,OUT045
89,551.16675,FDB03,OUT010
90,2744.1753,FDN39,OUT045
91,4917.7905,FDX02,OUT027
92,2793.8997,FDQ16,OUT027
93,1872.2677,FDU35,OUT018
94,1860.8123,NCT29,OUT013
95,653.5542,FDZ27,OUT046
96,1982.9585,FDN57,OUT017
97,2273.321,FDA03,OUT018
98,3534.6462,FDZ36,OUT045
99,1015.7078,NCU05,OUT013
100,2101.661,FDT39,OUT018
101,1602.1234,FDK60,OUT017
102,3028.2163,FDZ25,OUT017
103,2102.786,FDG12,OUT046
104,491.86014,DRB01,OUT019
105,6513.6577,NCC43,OUT027
106,1001.5405,FDX13,OUT019
107,922.1503,FDM22,OUT049
108,1510.0034,FDJ03,OUT027
109,3761.339,FDU14,OUT018
110,587.7978,FDB33,OUT010
111,3528.8079,FDP27,OUT046
112,115.981735,FDO38,OUT010
113,5841.187,FDE28,OUT027
114,1462.8798,FDO27,OUT035
115,2393.584,DRL23,OUT027
116,919.42535,FDS28,OUT046
117,1423.1797,FDX24,OUT013
118,1489.9269,FDZ02,OUT035
119,1762.8685,FDL46,OUT045
120,5069.713,FDS60,OUT027
121,402.67236,NCO06,OUT017
122,1610.8932,FDO16,OUT035
123,1708.7255,FDC60,OUT049
124,3879.8147,FDA48,OUT018
125,5405.77,FDZ36,OUT027
126,1992.4872,FDK27,OUT045
127,623.5369,FDW23,OUT018
128,1412.7229,FDM14,OUT018
129,1665.7737,FDM14,OUT013
130,2440.7146,FDW60,OUT018
131,1828.1047,FDE21,OUT013
132,1680.1736,NCM42,OUT035
133,64.259735,FDY59,OUT010
134,1158.8335,DRI49,OUT049
135,284.70303,FDT28,OUT019
136,381.1217,FDQ22,OUT018
137,949.32654,FDR60,OUT049
138,221.46301,FDC50,OUT019
139,2327.4968,FDV24,OUT013
140,-875.338,DRF48,OUT010
141,752.3889,FDQ47,OUT046
142,1600.0312,DRN36,OUT049
143,2241.6162,NCY06,OUT035
144,1554.1106,FDE52,OUT035
145,1798.6677,NCB54,OUT045
146,2379.5256,NCF31,OUT035
147,4693.1396,FDJ08,OUT027
148,1584.0051,NCC07,OUT017
149,1472.8866,NCD19,OUT027
150,1998.1569,FDL46,OUT049
151,3905.361,FDM20,OUT045
152,485.13168,NCI06,OUT010
153,4976.8755,DRM11,OUT035
154,2479.5864,NCH07,OUT018
155,2049.2986,FDS23,OUT013
156,527.29254,FDO49,OUT018
157,1104.4916,FDS35,OUT049
158,1244.9064,DRK39,OUT045
159,931.07367,DRI39,OUT049
160,2284.0664,FDV04,OUT017
161,3357.8008,NCN14,OUT035
162,4237.982,FDH08,OUT013
163,2918.6304,FDS20,OUT046
164,1209.2194,FDV40,OUT049
165,96.630486,FDZ48,OUT010
166,2402.9016,FDS24,OUT027
167,2654.198,FDK44,OUT049
168,2734.5125,FDS48,OUT045
169,579.72614,FDK26,OUT010
170,3107.4248,FDD23,OUT045
171,2781.7542,NCH54,OUT017
172,503.90292,NCP14,OUT010
173,125.295715,FDM60,OUT010
174,2073.2554,FDV24,OUT017
175,2471.6003,FDH08,OUT018
176,3412.2505,FDS12,OUT027
177,5178.782,FDR39,OUT027
178,987.3216,FDP12,OUT027
179,5593.2163,DRF60,OUT027
180,1726.7882,FDC09,OUT035
181,2735.7087,FDF50,OUT018
182,3799.8328,FDG28,OUT035
183,984.157,NCE19,OUT017
184,202.25262,NCM53,OUT010
185,1644.666,NCN18,OUT049
186,3441.1667,FDF32,OUT035
187,3110.142,FDF11,OUT013
188,4094.036,DRI59,OUT049
189,3057.7224,NCG54,OUT035
190,1661.1838,FDM44,OUT046
191,2823.0881,FDT57,OUT018
192,2239.6426,FDV24,OUT046
193,570.9173,FDI50,OUT019
194,817.99426,FDS09,OUT035
195,4161.7637,NCC31,OUT027
196,298.64557,FDQ07,OUT019
197,3476.8765,FDC22,OUT017
198,3132.755,FDZ56,OUT046
199,198.69786,FDZ40,OUT019
200,3139.7634,FDS46,OUT027
201,2183.577,DRD24,OUT045
202,3126.7197,FDV45,OUT017
203,2460.2756,FDL26,OUT045
204,1772.2903,FDA56,OUT018
205,1158.1321,FDN27,OUT046
206,4021.714,FDM20,OUT049
207,1273.7202,FDO16,OUT017
208,3287.6343,FDL03,OUT035
209,1869.0405,FDE58,OUT046
210,3195.1091,FDI02,OUT027
211,64.85087,NCC55,OUT019
212,3087.7996,FDR03,OUT018
213,1507.0098,FDB14,OUT017
214,4502.9497,FDR45,OUT013
215,2099.3616,NCN07,OUT017
216,269.74176,FDM51,OUT019
217,5204.2197,FDT52,OUT027
218,2460.2756,FDL26,OUT046
219,3788.4946,NCZ42,OUT046
220,547.2021,DRI47,OUT019
221,2321.4312,FDW40,OUT013
222,3654.0115,FDN34,OUT046
223,3027.8962,FDS01,OUT035
224,1872.9585,NCG55,OUT045
225,1128.7316,FDC11,OUT035
226,1973.4766,FDX35,OUT018
227,2355.2322,NCB06,OUT046
228,87.13214,FDR09,OUT019
229,1554.0211,FDC53,OUT017
230,5505.5264,FDY45,OUT013
231,312.99,FDA22,OUT010
232,1560.2589,FDE02,OUT035
233,1801.1996,FDW21,OUT045
234,1175.663,FDV34,OUT046
235,1769.8677,FDS59,OUT049
236,2262.734,NCW17,OUT017
237,1959.1779,NCK54,OUT046
238,862.7381,FDG17,OUT019
239,3240.9854,FDG35,OUT017
240,171.68654,FDD08,OUT010
241,4508.6323,NCO07,OUT017
242,140.17114,FDJ10,OUT010
243,1615.2435,FDW36,OUT017
244,129.60382,FDW21,OUT010
245,2265.113,FDY19,OUT017
246,619.86975,DRE03,OUT013
247,539.9619,NCC55,OUT049
248,225.0497,FDH52,OUT010
249,5486.4893,FDO09,OUT017
250,4053.9482,FDU43,OUT045
251,159.21681,FDX09,OUT010
252,269.54565,FDH40,OUT019
253,1676.6727,FDW58,OUT017
254,4845.598,FDC47,OUT017
255,1589.1218,NCR41,OUT035
256,4177.157,DRG49,OUT035
257,3932.836,FDC52,OUT027
258,1210.4183,FDY13,OUT046
259,611.7876,FDY35,OUT013
260,3688.178,FDI35,OUT017
261,2333.1333,NCU18,OUT049
262,2735.0295,FDY33,OUT018
263,4060.2979,FDC15,OUT027
264,3392.4004,FDU01,OUT049
265,3262.424,NCU42,OUT046
266,2754.5037,NCV29,OUT018
267,3546.8018,NCY30,OUT017
268,2029.0884,FDQ46,OUT049
269,3731.8433,FDG58,OUT027
270,3735.95,FDK33,OUT017
271,1541.419,NCD07,OUT045
272,3940.6965,NCX29,OUT027
273,1751.3184,NCT42,OUT013
274,692.0732,DRN59,OUT035
275,1283.6824,FDI44,OUT035
276,1431.6914,FDA45,OUT049
277,846.348,FDP31,OUT045
278,1716.2622,FDY01,OUT046
279,1730.7793,FDT09,OUT018
280,2500.9492,DRH03,OUT027
281,1747.9265,FDA36,OUT018
282,2369.9402,NCF31,OUT017
283,2646.5059,FDG14,OUT049
284,5377.967,FDG28,OUT027
285,4122.072,FDU14,OUT049
286,301.2029,FDY47,OUT019
287,1653.3533,FDI56,OUT049
288,730.9002,DRD01,OUT013
289,864.4589,FDM22,OUT046
290,721.57135,FDH33,OUT013
291,2309.857,DRZ24,OUT013
292,1566.3306,NCQ38,OUT046
293,2411.6223,FDO16,OUT027
294,3754.7788,FDU07,OUT027
295,2791.537,NCB07,OUT013
296,1634.0189,FDU48,OUT045
297,2591.6284,NCM43,OUT045
298,334.146,FDR31,OUT010
299,488.00143,DRK49,OUT018
300,828.9157,NCI30,OUT010
301,3310.5437,DRD60,OUT017
302,3274.4114,NCG19,OUT046
303,1703.3894,FDH12,OUT035
304,1505.3859,FDM32,OUT035
305,2599.6238,FDM27,OUT035
306,4590.9395,NCU53,OUT027
307,1499.856,NCQ18,OUT046
308,2852.8247,FDS10,OUT013
309,4114.5312,FDB33,OUT027
310,1335.1544,FDI12,OUT013
311,3921.1387,NCW42,OUT013
312,2149.2925,NCC06,OUT018
313,3355.6404,FDW02,OUT017
314,1689.9037,NCD43,OUT017
315,1045.2461,FDM57,OUT018
316,3445.7214,FDA58,OUT017
317,3245.1328,FDK56,OUT046
318,4874.4233,FDP52,OUT045
319,1685.2623,FDW20,OUT018
320,1578.9034,FDS52,OUT049
321,1572.7496,NCT29,OUT018
322,2865.1006,NCL54,OUT013
323,2472.5134,FDC05,OUT045
324,3062.9236,FDF34,OUT035
325,3254.243,FDP03,OUT027
326,229.89825,FDD32,OUT010
327,2254.5547,FDZ10,OUT045
328,898.8504,FDZ40,OUT035
329,407.78848,FDD51,OUT018
330,277.1995,NCY30,OUT019
331,2802.3137,FDP58,OUT017
332,3282.9287,FDV49,OUT017
333,187.5171,FDY24,OUT019
334,1678.1926,NCO55,OUT017
335,1977.2855,FDR13,OUT017
336,1049.7766,FDS51,OUT017
337,1587.9686,FDP26,OUT045
338,3348.1543,NCB54,OUT027
339,3221.1194,FDF32,OUT017
340,2531.2974,FDN31,OUT018
341,667.18945,DRM48,OUT017
